2025-09-19 22:43:54 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:43:54 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:43:55 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:43:55 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:43:55 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:43:56 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:43:57 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:43:57 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:43:57 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:43:57 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:43:58 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:43:58 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
